Models,Seats
2013 BOEING 737-932ER,137
2014 BOEING 737-932ER,200
Boeing 737NG 900ER/W,200
 BOEING 737-990ER,177
2015 AIRBUS A321-231,206
2004 AIRBUS A330-323,335
1999 BOEING 767-332,244
1990 BOEING 767-332,243
1990 BOEING 767-3P6,375
2000 BOEING 777-223,396
2014 BOEING 777-323ER,396
1992 BOEING 767-322,374
BOEING 737-8H4,137
 BOEING 777-323ER,395
2000 BOEING 777-224,391
2013 BOEING 777-323ER,360
 BOEING 787-9,280
Boeing 737NG 73V/W,137
Boeing 737NG 800/W,143
2005 AIRBUS A320-232,150
Airbus A320 232SL,236
Embraer ERJ-170-200 LR,70
2015 BOEING 737-932ER,140
2001 BOEING 767-424ER,244
Boeing 737NG 932ER/W,150
EMBRAER-EMPRESA BRASILEIRA DE ERJ 170-200 LR,190
2014 BOEING 737-8H4,162
2015 EMBRAER S A ERJ170-200LR,170
1996 BOEING 757-251,295
BOEING 737-832,162
2009 BOEING 737-823,165
2003 BOMBARDIER INC CL-600-2D24,125
2013 EMBRAER ERJ 190-100 IGW,95
2013 BOEING 737-990ER,177
 BOEING 757-26D,295
Boeing 737NG 7K9,137
2007 BOMBARDIER INC DHC-8-402,90
1998 BOEING 757-24APF,250
Boeing 737NG 7Q8,143
ERJ 170-200 LR,190
EMBRAER ERJ170-200LR,190
2000 AIRBUS INDUSTRIE A319-112,156
2001 AIRBUS INDUSTRIE A319-132,125
2015 BOEING 737-990ER,177
Boeing 737NG 990ER/W,180
Embraer EMB-175 200LR,78
1992 MCDONNELL DOUGLAS MD-11F,235
2010 BOEING 737-823,162
2014 BOEING 737-990ER,177
2013 BOEING 737-823,189
Boeing 737MAX 8,220
2002 AIRBUS A319-114,220
2009 BOEING 737-924ER,189
2011 BOEING 737-823,200
BOEING 767-332,375
2000 AIRBUS INDUSTRIE A330-323,277
1993 BOEING 767-328,375
2002 BOEING 777-224,296
2013 BOEING 737-8H4,162
2000 AIRBUS INDUSTRIE A320-232,150
2004 EMBRAER EMB-145LR,50
